timestamp,open,high,low,close,volume,oi
2025-01-14 09:15:00,21109.696629662114,21109.696629662114,21092.496635667903,21106.322473540415,88972,5888453
2025-01-14 09:20:00,21122.345851823615,21122.345851823615,21079.32589695161,21079.32589695161,35725,9112083
2025-01-14 09:25:00,21065.554119231794,21142.24976501106,21065.554119231794,21130.76118700242,1218,8002790
2025-01-14 09:30:00,21099.854008840815,21116.091648956255,21098.47744440671,21107.65863619995,38244,7352933
2025-01-14 09:35:00,21103.666139366276,21129.54628297074,21087.599754013023,21087.599754013023,71733,8408473
2025-01-14 09:40:00,21120.755729207118,21120.755729207118,21090.030367764466,21106.47075361561,45213,7122584
2025-01-14 09:45:00,21115.149565463853,21125.652960650074,21076.006360257343,21114.26101912424,76207,6048164
2025-01-14 09:50:00,21068.789552630424,21113.116371816635,21068.789552630424,21084.345704387535,49067,5662432
2025-01-14 09:55:00,21057.75330764383,21131.458835966736,21057.75330764383,21131.458835966736,63440,5979401
2025-01-14 10:00:00,21088.011366603958,21112.13037042654,21083.537396189782,21109.335738856495,1511,8906822
2025-01-14 10:05:00,21078.556067206984,21086.80737039228,21071.183128601282,21082.950932266947,80749,6007339
2025-01-14 10:10:00,21084.789509835235,21118.575190820964,21084.789509835235,21107.020824837495,50483,7361614
2025-01-14 10:15:00,21095.78719190682,21095.78719190682,21073.276406209585,21082.68640832947,50414,8602762
2025-01-14 10:20:00,21094.50864707541,21100.765595063443,21091.334223949038,21100.765595063443,43540,7557423
2025-01-14 10:25:00,21075.65171806095,21097.621394902155,21063.533883354772,21063.533883354772,82021,6147082
2025-01-14 10:30:00,21088.405843871802,21137.094333440626,21088.405843871802,21115.727496592852,39892,7076828
2025-01-14 10:35:00,21070.79323414923,21122.51559054595,21070.79323414923,21100.28297438774,67877,6586389
2025-01-14 10:40:00,21101.056544419473,21106.96223522727,21088.514876524656,21106.96223522727,77551,8576790
2025-01-14 10:45:00,21097.677742915203,21135.663537787485,21089.403168198118,21098.28255265045,30822,6072967
2025-01-14 10:50:00,21109.421807613828,21109.421807613828,21087.70073463949,21087.70073463949,20204,7210641
2025-01-14 10:55:00,21113.919667389233,21117.19264154367,21103.454947421695,21103.454947421695,93747,6494864
2025-01-14 11:00:00,21083.918840346138,21126.42548325221,21083.918840346138,21101.71751737688,88763,9496962
2025-01-14 11:05:00,21121.096318821277,21125.288667995454,21078.97360627151,21078.97360627151,20152,6697558
2025-01-14 11:10:00,21095.97974837674,21104.473858427933,21085.454461767677,21101.997750298968,1770,6132090
2025-01-14 11:15:00,21095.599597389562,21110.75973611796,21076.354447038866,21076.354447038866,37821,5233160
2025-01-14 11:20:00,21085.0556022697,21107.904900314552,21085.0556022697,21107.904900314552,64297,6207696
2025-01-14 11:25:00,21096.128758837407,21129.52023217295,21096.128758837407,21112.81324452125,57401,7758439
2025-01-14 11:30:00,21103.091001997418,21129.22775561573,21084.98969373744,21129.22775561573,34013,5583015
2025-01-14 11:35:00,21100.35477380816,21137.754982058763,21100.35477380816,21129.56094677217,41048,5491140
2025-01-14 11:40:00,21120.270213031366,21131.910040081668,21107.229971228768,21131.910040081668,48182,7471178
